key,kr,en,jp,zh-sc-gl,zh-sc-zai,th,id,ru,it,pt,es,vi,zh-hant,fr,tr
npc1_name,제페토 2D NPC,ZEPETO 2D NPC,ZEPETO 2D NPC,ZEPETO 2D NPC,ZEPETO 2D NPC,ZEPETO 2D NPC,ZEPETO 2D NPC,ZEPETO 2D NPC,ZEPETO 2D NPC,ZEPETO 2D NPC,ZEPETO 2D NPC,ZEPETO 2D NPC,ZEPETO 2D NPC,ZEPETO 2D NPC,ZEPETO 2D NPC
npc1_text,"안녕, 탐험가!","Hey, Explorer!",やあ、探検者！,嘿，探险者！,嘿，冒險者！,สวัสดี นักผจญภัย!,"Halo, Penjelajah!","Привет, путешественник!","Ehi, esploratore!","Ei, explorador!","¡Hey, explorador!",Chào nhà thám hiểm!,嘿，冒險者！,"Salut, explorateur !","Hey, kaşif!"
npc1_q1,여긴 어떤 곳이야?,What is this place?,ここはどんな場所？,这里是什么地方？,這裡是什麼地方？,ที่นี่คือที่ไหน?,Tempat apa ini?,Что это за место?,Che posto è questo?,Que lugar é este?,¿Qué lugar es este?,Đây là nơi nào?,這裡是什麼地方？,Quel est cet endroit ?,Burası neresi?
npc1_q2,너는 누구야?,Who are you?,君は誰？,你是谁？,你是誰？,คุณคือใคร?,Kamu siapa?,Кто ты?,Chi sei?,Quem é você?,¿Quién eres?,Bạn là ai?,你是誰？,Tu es qui ?,Sen kimsin?
npc1_q3,이 템플릿은 어떻게 써?,How do I use this template?,このテンプレートはどう使うの？,这个模板怎么用？,這個模板怎麼用？,ใช้เทมเพลตนี้ยังไง?,Gimana cara pakai template ini?,Как пользоваться этим шаблоном?,Come si usa questo template?,Como uso este template?,¿Cómo uso esta plantilla?,Dùng mẫu này thế nào?,這個模板怎麼用？,Comment utiliser ce modèle ?,Bu şablon nasıl kullanılır?
npc1_a1,이건 샘플 2D 월드야.,This is a sample 2D world.,これはサンプルの2Dワールドだよ。,这是一个示例 2D 世界。,這是一個示範用的 2D 世界。,นี่คือโลก 2D ตัวอย่าง,Ini adalah dunia 2D contoh.,Это пример 2D-мира.,Questo è un mondo 2D di esempio.,Este é um mundo 2D de exemplo.,Este es un mundo 2D de ejemplo.,Đây là một thế giới 2D mẫu.,這是一個示範用的 2D 世界。,Ceci est un monde 2D d’exemple.,Bu örnek bir 2D dünyadır.
npc1_a2,난 네 가이드야.,I'm your guide.,僕は君のガイドだよ。,我是你的向导。,我是你的嚮導。,ฉันคือไกด์ของคุณ,Aku pemandumu.,Я твой проводник.,Sono la tua guida.,Sou o seu guia.,Soy tu guía.,Mình là người hướng dẫn của bạn.,我是你的嚮導。,Je suis ton guide.,Ben senin rehberinim.
npc1_a3,스크립트를 보면 알 수 있어.,Check the scripts to learn how.,スクリプトを見れば分かるよ。,看看脚本就知道了。,看看腳本就知道了。,ดูที่สคริปต์ได้เลย,Cek script-nya ya.,Посмотри скрипты — там всё есть.,Dai un’occhiata agli script.,Dê uma olhada nos scripts.,Revisa los scripts para aprender.,Xem script là sẽ hiểu.,看看腳本就知道了。,Regarde les scripts pour comprendre.,"Scriptlere bak, anlarsın."
str_portal,포털,Portal,ポータル,传送门,傳送門,พอร์ทัล,Portal,Портал,Portale,Portal,Portal,Cổng dịch chuyển,傳送門,Portail,Portal
str_map,지도,Map,マップ,地图,地圖,แผนที่,Peta,Карта,Mappa,Mapa,Mapa,Bản đồ,地圖,Carte,Harita
